Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4339,PR,Toa Baja (Municipio),INGENIO TOA BAJA,951,1,1,0,0,1,0,1,10694,0,1106,9588,0,1,0,0
4339,PR,Toa Baja (Municipio),LA VEGA TOA BAJA,952,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),LEVITAON TOA BAJA,949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),LEVITOWN,949,7,7,7,0,0,0,4,4979,0,0,4979,4,0,0,0
4339,PR,Toa Baja (Municipio),LEVITOWN,959,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),LEVITOWN TOA BAJA,949,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),LEVITOWNTOABAJA,949,1,1,0,0,1,0,1,17170,0,1486,15684,0,1,0,0
4339,PR,Toa Baja (Municipio),LEVITTAWN,949,1,1,1,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Baja (Municipio),LEVITTAWN TOA BAJA,949,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),LEVITTONM TOA BAJA,949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),LEVITTONW TOA BAJA,949,1,1,1,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Baja (Municipio),LEVITTOWN,947,1,1,0,1,0,0,1,6449,0,1106,5343,1,0,0,0
4339,PR,Toa Baja (Municipio),LEVITTOWN,949,122,74,63,11,0,0,39,82951,0,10628,72324,38,1,0,0
4339,PR,Toa Baja (Municipio),LEVITTOWN,951,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),LEVITTOWN,962,1,1,0,1,0,0,1,2275,0,918,1357,1,0,0,0
4339,PR,Toa Baja (Municipio),LEVITTOWN TOA BAJA,949,44,28,23,3,2,0,23,29084,0,5696,23388,23,0,0,0
4339,PR,Toa Baja (Municipio),LEVITTOWN TOA BAJA,950,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),LEVITTOWN TOA BAJA,952,1,1,1,0,0,0,1,1486,0,1486,0,1,0,0,0
4339,PR,Toa Baja (Municipio),LEVITTOWN TOABAJA,949,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),LEVITTOW TOABAJA,949,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),LEVITTWON TOABAJA,949,1,0,0,0,0,0,1,1053,0,553,500,1,0,0,0
4339,PR,Toa Baja (Municipio),MANATI,674,1,1,1,0,0,0,1,2702,0,459,2243,1,0,0,0
4339,PR,Toa Baja (Municipio),NGENIO TOABAGA,952,1,0,0,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Baja (Municipio),PAJAROS TOA BAJA,949,1,1,0,1,0,0,1,963,0,0,963,1,0,0,0
4339,PR,Toa Baja (Municipio),PALO SECO TOA BAJA,949,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),QUINTA SECCION LEVITTOWN,949,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),SABANAB SECA,952,1,1,1,0,0,0,1,952,0,0,952,1,0,0,0
4339,PR,Toa Baja (Municipio),SABANA SACA,952,1,1,1,0,0,0,1,600,0,0,600,1,0,0,0
4339,PR,Toa Baja (Municipio),SABANA SECA,949,7,5,4,0,1,0,4,2463,0,0,2463,4,0,0,0
4339,PR,Toa Baja (Municipio),SABANA SECA,952,453,318,264,32,22,0,190,304682,0,59834,244848,189,1,0,0
4339,PR,Toa Baja (Municipio),SABANA SECA TOA BAJA,949,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),SABANA SECA TOA BAJA,952,16,6,3,1,2,0,7,13268,0,2957,10311,7,0,0,0
4339,PR,Toa Baja (Municipio),SAN JOSE TOA BAJA,952,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),SAN JUAN,907,2,1,0,0,1,0,1,918,0,918,0,1,0,0,0
4339,PR,Toa Baja (Municipio),SAN JUAN,924,2,1,1,0,0,0,1,3200,0,0,3200,1,0,0,0
4339,PR,Toa Baja (Municipio),SAN JUAN,926,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),TAO BAJA,949,1,1,1,0,0,0,1,1553,0,0,1553,1,0,0,0
4339,PR,Toa Baja (Municipio),TB,952,1,0,0,0,0,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Baja (Municipio),TOA,949,1,1,1,0,0,0,1,959,0,459,500,1,0,0,0
4339,PR,Toa Baja (Municipio),TOA ALTA,949,1,0,0,0,0,0,1,553,0,553,0,1,0,0,0
4339,PR,Toa Baja (Municipio),TOA ALTA,952,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),TOA ALTA,953,9,6,5,1,0,0,3,3126,0,1486,1640,3,0,0,0
4339,PR,Toa Baja (Municipio),TOA ALTA,954,1,1,0,0,1,0,1,500,0,0,500,1,0,0,0
4339,PR,Toa Baja (Municipio),TOA BAA,951,1,1,0,1,0,0,1,3147,0,0,3147,1,0,0,0
4339,PR,Toa Baja (Municipio),TOA BABA,949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),TOA BABA,952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),TOA BAJ,952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4339,PR,Toa Baja (Municipio),TOA BAJA,0,4,1,1,0,0,0,2,8000,0,0,8000,2,0,0,0
4339,PR,Toa Baja (Municipio),TOA BAJA,49,1,0,0,0,0,0,1,500,0,0,500,1,0,0,0
